timestamp,input_time_ms,value
2025-11-26T07:39:23.273Z,35860,0
2025-11-26T07:39:28.295Z,1847,100
2025-11-26T07:39:31.172Z,7788,0
2025-11-26T07:39:31.273Z,2898,100
2025-11-26T07:39:32.222Z,953,0
2025-11-26T07:39:32.767Z,437,0
2025-11-26T07:39:33.487Z,624,0
2025-11-26T07:39:39.821Z,8478,100
2025-11-26T07:39:40.898Z,1013,100
2025-11-26T07:39:45.264Z,4299,100
2025-11-26T07:39:51.147Z,2136,0
2025-11-26T07:39:51.807Z,565,0
2025-11-26T07:39:52.226Z,321,0
2025-11-26T07:39:53.632Z,1304,0
2025-11-26T07:39:54.251Z,514,0
2025-11-26T07:39:54.952Z,609,0
2025-11-26T07:39:55.392Z,340,0
2025-11-26T07:39:55.732Z,249,0
2025-11-26T07:39:55.992Z,179,0
2025-11-26T07:39:56.212Z,136,0
2025-11-26T07:39:56.453Z,151,0
2025-11-26T07:39:56.912Z,357,0
2025-11-26T07:39:57.097Z,104,0
2025-11-26T07:39:57.351Z,163,0
2025-11-26T07:39:57.542Z,126,0
2025-11-26T07:40:03.579Z,1181,100
2025-11-26T07:40:04.922Z,1283,100
2025-11-26T07:40:06.034Z,1035,100
2025-11-26T07:40:06.154Z,64,100
2025-11-26T07:40:06.298Z,92,100
2025-11-26T07:40:06.454Z,40390,60
2025-11-26T07:40:06.467Z,99,100
2025-11-26T07:40:06.570Z,35,100
2025-11-26T07:40:06.697Z,63,100
2025-11-26T07:40:06.833Z,61,100
2025-11-26T07:40:06.953Z,49,100
2025-11-26T07:40:07.073Z,53,100
2025-11-26T07:40:07.209Z,77,100
2025-11-26T07:40:07.393Z,129,100
2025-11-26T07:40:07.521Z,70,100
2025-11-26T07:40:07.668Z,91,100
2025-11-26T07:40:07.843Z,110,100
2025-11-26T07:40:11.019Z,3117,100
2025-11-26T07:40:19.197Z,1406,100
2025-11-26T07:40:19.835Z,22204,0
2025-11-26T07:40:20.041Z,760,100
2025-11-26T07:40:20.465Z,520,0
2025-11-26T07:40:23.405Z,3308,100
2025-11-26T07:40:24.009Z,545,100
2025-11-26T07:40:24.830Z,756,100
2025-11-26T07:40:27.999Z,28650,50
2025-11-26T07:40:32.889Z,7998,100
2025-11-26T07:40:36.085Z,3131,100
2025-11-26T07:40:58.940Z,1767,0
2025-11-26T07:40:58.966Z,2016,0
2025-11-26T07:40:59.167Z,125,0
2025-11-26T07:40:59.856Z,612,0
2025-11-26T07:41:00.191Z,253,0
2025-11-26T07:41:02.720Z,2427,0
2025-11-26T07:41:02.891Z,86,0
2025-11-26T07:41:03.349Z,348,0
2025-11-26T07:41:03.692Z,93,0
2025-11-26T07:41:03.872Z,98,0
2025-11-26T07:41:04.032Z,88,0
2025-11-26T07:41:04.231Z,115,0
2025-11-26T07:41:04.372Z,66,0
2025-11-26T07:41:04.507Z,73,0
2025-11-26T07:41:04.692Z,97,0
2025-11-26T07:41:04.834Z,66,0
2025-11-26T07:41:05.012Z,94,0
2025-11-26T07:41:05.192Z,79,0
2025-11-26T07:41:05.333Z,53,0
2025-11-26T07:41:05.460Z,58,0
2025-11-26T07:41:05.631Z,85,0
2025-11-26T07:41:05.756Z,63,0
2025-11-26T07:41:09.338Z,12078,40
2025-11-26T07:41:22.249Z,12099,100
2025-11-26T07:41:28.033Z,5701,100
2025-11-26T07:41:51.899Z,6957,50
2025-11-26T07:42:18.138Z,4356,25
2025-11-26T07:42:49.910Z,10808,18
2025-11-26T07:42:51.048Z,1912,50
2025-11-26T07:43:29.268Z,14841,80
2025-11-26T07:43:59.293Z,14111,51
2025-11-26T07:46:40.202Z,5186,0
2025-11-26T07:46:41.459Z,1040,0
2025-11-26T07:46:41.682Z,1237,0
2025-11-26T07:46:41.883Z,118,0
2025-11-26T07:46:42.105Z,66,0
